Date,reliance,adani
5/6/2022,2620.65,2247.7
5/9/2022,2518.3,2197.65
########,2474.65,2109.5
########,2449.3,2119.3
########,2399.4,2045.2
########,2426.6,2054.15
########,2427.2,2105.9
########,2529.15,2184.85
########,2538.35,2181.1
########,2479.85,2114.75
########,2624.45,2219.55
########,2606.9,2170.65
########,2615.85,2160.2
########,2612,2074.15
########,2587.1,2046.4
########,2575.1,2080.15
########,2664.8,2165.65
########,2632.65,2167.55
6/1/2022,2633.5,2150.9
6/2/2022,2724.3,2209.4
6/3/2022,2779.5,2190
6/6/2022,2767.55,2225.05
6/7/2022,2772.75,2227.55
6/8/2022,2724.05,2177.2
6/9/2022,2798.75,2219.2
########,2714.25,2203.1
########,2662.9,2079.75
########,2628.1,2196.45
########,2596.3,2184.6
########,2560,2083
########,2590,2095.8
########,2543.05,2079.85
########,2584.1,2161.8
########,2505.6,2089.2
########,2464.95,2110.35
########,2500.05,2161.45
########,2492.65,2181.6
########,2527.7,2204.6
########,2580.15,2220.1
########,2595.65,2190.9
7/1/2022,2408.7,2232.2
7/4/2022,2413.7,2261.85
7/5/2022,2433.25,2246.45
7/6/2022,2411.85,2272.85
7/7/2022,2388.1,2274.3
7/8/2022,2391.4,2293.05
########,2423.9,2373.25
########,2420.45,2365.65
########,2377.55,2353.5
########,2397.15,2383.1
########,2401.8,2405.25
########,2422.25,2423.6
########,2437.1,2451.3
########,2503,2451.1
########,2486.3,2495.5
########,2503.1,2499.4
########,2420.4,2550.6
########,2421.5,2559.7
########,2419.2,2548.7
########,2457.1,2550.4
########,2509.45,2569.2
8/1/2022,2574.85,2660.15
8/2/2022,2584.65,2683.65
8/3/2022,2606.35,2711.4
8/4/2022,2571.9,2723.6
8/5/2022,2534,2698.4
8/8/2022,2567.15,2791.9
########,2582.5,2827.2
########,2591.1,2834.05
########,2633,2864.55
########,2651.3,2975.85
########,2665.15,3008.65
########,2661.3,3153.65
########,2613.85,3130.2
########,2606.6,3051.6
